Название проекта,Спринт,Сферы деятельности компаний,Направление деятельности,Навыки и инструменты,Задачи проекта,Описание проекта,Ключевые слова проекта,Ключевые слова
1. Исследование данных сервиса “Яндекс.Музыка” — сравнение пользователей двух городов,Базовый Python,"Интернет-сервисы, Стриминговые сервисы",Data Analyst,"Pandas, Python",На реальных данных Яндекс.Музыки c помощью библиотеки Pandas и её возможностей проверить данные и сравнить поведение и предпочтения пользователей двух столиц — Москвы и Санкт-Петербурга.,"Сравнение Москвы и Петербурга окружено мифами:
- Москва — мегаполис, подчинённый жёсткому ритму рабочей недели;
- Петербург — город своеобразной культуры, непохожий на Москву.
Некоторые мифы отражают действительность. Другие — пустые стереотипы. Бизнес должен отличать первые от вторых, чтобы принимать рациональные решения. На реальных данных Яндекс.Музыки вы проверите данные и сравните поведение пользователей двух столиц.","обработка данных, дубликаты, пропуски, логическая индексация, группировка, сортировка","data analyst, аналитик данных, аналитик, analyst"
2. Исследование надёжности заёмщиков — анализ банковских данных,Предобработка данных,"Банковская сфера, Кредитование","Data Analyst, Финансовый аналитик","Pandas, Python, предобработка данных",На основе статистики о платёжеспособности клиентов исследовать влияет ли семейное положение и количество детей клиента на факт возврата кредита в срок,"На основе данных кредитного отдела банка исследовал влияние семейного положения и
количества детей на факт погашения кредита в срок. Была получена информация о
данных. Определены и обработаны пропуски. Заменены типы данных на соответствующие
хранящимся данным. Удалены дубликаты. Выделены леммы в значениях столбца и
категоризированны данные.","обработка данных, дубликаты, пропуски, категоризация, декомпозиция","data analyst, аналитик данных, аналитик, финансовый аналитик, analyst"
3. Продажа квартир в Санкт-Петербурге — анализ рынка недвижимости,Исследовательский анализ данных,"Интернет-сервисы, Площадки объявлений","Data Analyst, Fraud-аналитик, Маркетинг-аналитик","Matplotlib, Pandas, Python, визуализация данных, исследовательский анализ данных, предобработка данных","Используя данные сервиса Яндекс.Недвижимость, определить рыночную стоимость объектов недвижимости и типичные параметры квартир","На основе данных сервиса Яндекс.Недвижимость определена рыночная стоимость
объектов недвижимости разного типа, типичные параметры квартир, в зависимости от
удаленности от центра. Проведена предобработка данных. Добавлены новые данные.
Построены гистограммы, боксплоты, диаграммы рассеивания.","обработка данных, histogram, boxplot, scattermatrix,
категоризация, scatterplot,  фрод-мониторинг","маркетинговый аналитик, фрод аналитик, fraud analyst, data analyst, аналитик данных, аналитик, analyst,"
4. Исследование о рынке российского кинопроката,Сборный проект — 1,"Кинематограф, Оффлайн, Стриминговые сервисы","Data Analyst, Аналитик (универсал), Маркетинг-аналитик, Финансовый аналитик","Pandas, Python, визуализация данных, исследовательский анализ данных, предобработка данных","Используя данные государственного портала и сервиса “КиноПоиск”, проведите исследование, изучите текущие тренды и визуализируйте полученные результаты.","Заказчик этого исследования — Министерство культуры Российской Федерации.
Нужно изучить рынок российского кинопроката и выявить текущие тренды. Уделить внимание фильмам, которые получили государственную поддержку. Попробовать ответить на вопрос, насколько такие фильмы интересны зрителю.
Вы будете работать с данными, опубликованными на портале открытых данных Министерства культуры. Набор данных содержит информацию о прокатных удостоверениях, сборах и государственной поддержке фильмов, а также информацию с сайта КиноПоиск.","обработка данных, дубликаты, пропуски, категоризация, histogram, scattermatrix, scatterplot","аналитик данных, финансовый аналитик, data analyst, аналитик, analyst"
5.Исследование данных об инвестиции венчурных фондов в компании-стартапы,Базовый SQL,"Инвестиции, Стартапы","Data Analyst, Аналитик (универсал), Финансовый аналитик","PostgreSQL, SQL",Произвести различные выгрузки данных авиакомпаний с помощью SQL,"Проект автоматически проверяется в тренажёре SQL. В самостоятельном проекте этого курса работа идёт с базой данных, которая хранит информацию о венчурных фондах и инвестициях в компании-стартапы. Эта база данных основана на датасете Startup Investments, опубликованном на популярной платформе для соревнований по исследованию данных Kaggle.","обработка данных, выгрузка данных, SQL","аналитик sql, sql analyst, аналитик, analyst, reporting analyst"
"6. Исследования рынка общепита в Москве для принятия решения об
открытии нового заведения",Как рассказать историю с помощью данных (Визуализация),"Бизнес, Оффлайн, Стартапы","Data Analyst, Аналитик (универсал), Маркетинг-аналитик","Pandas, Plotly, Python, Seaborn, визуализация данных","Исследование рынка общественного питания на основе открытых данных, подготовка презентации.","Подготовлено исследование рынка на основе открытых данных о заведениях общественного питания Москвы, визуализированы полученные данные. На основе данных выбрано место для открытия новой кофейни. В построении графиков я использованы библиотеки seaborn и plotly. ","обработка данных, визуализация данных, создание презентаций","data analyst, аналитик данных, аналитик, analyst"
"7. Создание дашборда по пользовательским событиям для агрегатора
новостей",Проектирование дашбордов в Tableau,"Интернет-сервисы, Площадки объявлений","BI-аналитик, Data Analyst, Аналитик (универсал), Маркетинг-аналитик","Tableau, построение дашбордов, продуктовые метрики","TED (от англ. technology, education, design — «технологии, образование, дизайн») — некоммерческий фонд, который проводит популярные конференции. На них выступают специалисты из разных областей и читают лекции на актуальные социальные, культурные и научные темы. Исследуете историю TED-конференций и создадите дашборд в Tableau на основе полученных данных.",Подготовлен интерактивный дашборд на основе данных о конференциях. Для создания дашбордов использован BI-инструмент Tableau.,"дашборд, визуализация данных, Tableau","BI analyst, BI-аналитик, аналитик данных, data analyst, разработчик системы отчетности, reporting analyst"
8. Исследование опроса клиентов телекомунникацонной компании,Сборный проект-2,Телеком,"Data Analyst, Маркетинг-аналитик, Продуктовый аналитик","Pandas, Python, SQL, Tableau, построение дашбордов","Исследование данных с результатами опроса, отражающего текущий уровень потребительской лояльности (NPS) клиентов телекоммуникационной компании.","Заказчик этого исследования — большая телекоммуникационная компания, которая оказывает услуги на территории всего СНГ. Перед компанией стоит задача определить текущий уровень потребительской лояльности, или NPS (от англ. Net Promoter Score), среди клиентов из России.
Чтобы определить уровень лояльности, клиентам задавали классический вопрос: «Оцените по шкале от 1 до 10 вероятность того, что вы порекомендуете компанию друзьям и знакомым».
Компания провела опрос и попросила меня подготовить дашборд с его итогами. Большую базу данных для такой задачи разворачивать не стали и выгрузили данные в SQLite.","выгрузка данных, обработка данных, визуализация данных, построение дашборда, SQL, SQLite, Tableau","data analyst, BI analyst, BI-аналитик, аналитик данных, reporting analyst"
9. Анализ убытков приложения ProcrastinatePRO+,Анализ бизнес-показателей,"Интернет-сервисы, Стартапы","Маркетинг-аналитик, Продуктовый аналитик","Matplotlib, Pandas, Python, Seaborn, когортный анализ, продуктовые метрики, юнит-экономика","Задача для маркетингового аналитика развлекательного приложения Procrastinate Pro+. Несмотря на огромные вложения в рекламу, последние несколько месяцев компания терпит убытки. Ваша задача — разобраться в причинах и помочь компании выйти в плюс.","Проведен анализ данных от ProcrastinatePRO+.
Рассчитаны различные метрики, использован когортный анализ: LTV, CAC, Retention rate, DAU, WAU, MAU и т.д. Использованы уже написанные ранее функции расчёта метрик. Сделаны правильные выводы по полученным данным.","обработка данных, статистический тест, LTV, CAC, когортный анализ","маркетолог аналитик, marketing analyst, маркетинговый аналитик, веб-аналитик, web-analyst, продуктовый аналитик, product analyst"
10. Исследование базы данных сервиса Stackoverflow,Продвинутый SQL,"Интернет-сервисы, Социальные сети","Data Analyst, Аналитик (универсал), Продуктовый аналитик","Matplotlib, Pandas, Python, SQL, SQLAlchemy, Seaborn","Исследование, связанное с базой данных сервиса StackOverflow.
Первая часть проекта проверяется автоматически в тренажёре, а вторая — вручную.","В этом исследовании работа идёт с базой данных StackOverflow — сервиса вопросов и ответов о программировании. StackOverflow похож на социальную сеть — пользователи сервиса задают вопросы, отвечают на посты, оставляют комментарии и ставят оценки другим ответам. Я исследовал предоставленные данные, сформировал требуемые выгрузки данных с помощью SQL, посчитал различные продуктовые метрики и визуализировал их.","выгрузка данных, обработка данных, визуализация данных, SQL, SQLAlchemy, продуктовые метрики, оконные функции, когортный анализ","data analyst, продуктовый аналитик, product analyst, reporting analyst"
